subid,list
Test,1
Test,1
Test,1
Test,1
Test,1
Test,1
Test,1
Test,1
Test,1
Test,1
Test,1
Test,1
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
141209-01-sc,1
141209-01-sc,1
141209-01-sc,1
141209-01-sc,1
141209-01-sc,1
141209-01-sc,1
141209-01-sc,1
141209-01-sc,1
141209-01-sc,1
141209-01-sc,1
141209-01-sc,1
141209-01-sc,1
141209-01-sc,1
141209-01-sc,1
141209-01-sc,1
141209-01-sc,1
141209-01-sc,1
141209-01-sc,1
141209-02-sc,2
141209-02-sc,2
141209-02-sc,2
141209-02-sc,2
141209-02-sc,2
141209-02-sc,2
141209-02-sc,2
141209-02-sc,2
141209-02-sc,2
141209-02-sc,2
141209-02-sc,2
141209-02-sc,2
141209-02-sc,2
141209-02-sc,2
141209-02-sc,2
141209-02-sc,2
141209-02-sc,2
141209-02-sc,2
141209-03-sc,2
141209-03-sc,2
141209-03-sc,2
141209-03-sc,2
141209-03-sc,2
141209-03-sc,2
141209-03-sc,2
141209-03-sc,2
141209-03-sc,2
141209-03-sc,2
141209-03-sc,2
141209-03-sc,2
141209-03-sc,2
141209-03-sc,2
141209-03-sc,2
141209-03-sc,2
141209-03-sc,2
141209-03-sc,2
141209-04-sc,1
141209-04-sc,1
141209-04-sc,1
141209-04-sc,1
141209-04-sc,1
141209-04-sc,1
141209-04-sc,1
141209-04-sc,1
141209-04-sc,1
141209-04-sc,1
141209-04-sc,1
141209-04-sc,1
141209-04-sc,1
141209-04-sc,1
141209-04-sc,1
141209-04-sc,1
Test,1
Test,1
Test,1
Test,1
Test,1
Test,1
Test,1
Test,1
Test,1
Test,1
Test,1
Test,1
Test,1
Test,1
Test,1
Test,1
Test,1
Test,1
141209-05-sc,2
141209-05-sc,2
141209-05-sc,2
141209-05-sc,2
141209-05-sc,2
141209-05-sc,2
141209-05-sc,2
141209-05-sc,2
141209-05-sc,2
141209-05-sc,2
141209-05-sc,2
141209-05-sc,2
141209-05-sc,2
141209-05-sc,2
141209-05-sc,2
141209-05-sc,2
141209-05-sc,2
141209-05-sc,2
141209-06-sc,2
141209-06-sc,2
141209-06-sc,2
141209-06-sc,2
141209-06-sc,2
141209-06-sc,2
141209-06-sc,2
141209-06-sc,2
141209-06-sc,2
141209-06-sc,2
141209-06-sc,2
141209-06-sc,2
141209-06-sc,2
141209-06-sc,2
141209-06-sc,2
141209-06-sc,2
141209-06-sc,2
141209-06-sc,2
141209-07-sc,1
141209-07-sc,1
141209-07-sc,1
141209-07-sc,1
141209-07-sc,1
141209-07-sc,1
141209-07-sc,1
141209-07-sc,1
141209-07-sc,1
141209-07-sc,1
141209-07-sc,1
141209-07-sc,1
141209-07-sc,1
141209-07-sc,1
141209-07-sc,1
141209-07-sc,1
141209-07-sc,1
141209-07-sc,1
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
150108-01-sc,1
150108-01-sc,1
150108-01-sc,1
150108-01-sc,1
150108-01-sc,1
150108-01-sc,1
150108-01-sc,1
150108-01-sc,1
150108-01-sc,1
150108-01-sc,1
150108-01-sc,1
150108-01-sc,1
150108-01-sc,1
150108-01-sc,1
150108-01-sc,1
150108-01-sc,1
150108-01-sc,1
150108-01-sc,1
Test,1
Test,1
Test,1
Test,1
Test,2
Test,2
Test,1
Test,1
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
Test,2
